departure location: 30-828 or 839-971
departure station: 38-339 or 352-958
departure platform: 39-905 or 921-968
departure track: 36-570 or 586-972
departure date: 48-190 or 196-957
departure time: 29-483 or 491-963
arrival location: 28-779 or 803-959
arrival station: 27-221 or 238-966
arrival platform: 28-732 or 741-963
arrival track: 41-752 or 767-967
class: 27-437 or 452-972
duration: 38-93 or 107-958
price: 36-196 or 213-974
route: 48-858 or 880-956
row: 36-59 or 73-974
seat: 39-423 or 431-974
train: 38-499 or 518-958
type: 45-562 or 569-961
wagon: 28-161 or 171-959
zone: 44-75 or 83-964

your ticket:
139,113,127,181,53,149,131,239,137,241,89,151,109,73,157,59,107,83,173,179

nearby tickets:
475,649,830,432,685,476,743,278,558,283,496,337,83,313,153,139,405,522,648,894
888,593,683,820,389,319,405,559,465,948,359,270,811,842,555,704,542,485,255,472
371,457,149,561,468,267,459,849,482,925,281,368,222,809,700,822,612,393,90,108
179,422,138,361,55,597,825,158,395,768,403,158,807,417,282,269,708,780,549,148
731,113,414,421,904,93,133,456,59,616,640,478,521,352,804,238,132,891,568,306
572,806,150,654,768,534,635,621,891,900,56,468,552,673,372,376,463,92,493,390
461,394,305,569,371,825,684,824,187,591,262,363,935,935,730,752,885,104,434,826
834,663,318,632,668,940,670,400,633,354,399,744,630,521,684,821,640,74,748,74
335,637,199,594,687,940,904,530,262,664,642,895,398,642,648,187,372,335,592,480
531,624,844,686,943,541,853,377,731,948,416,267,668,699,182,630,94,339,137,267
468,278,300,267,292,924,386,338,556,671,813,640,448,535,283,607,627,857,363,335
287,810,492,289,313,905,180,296,535,78,363,118,554,148,743,858,881,359,221,812
696,219,221,241,180,778,672,479,320,570,538,707,360,751,273,401,943,226,283,310
147,650,794,291,849,57,182,361,300,452,89,87,804,559,748,744,591,417,107,292
264,247,243,109,541,161,724,15,265,301,528,161,773,746,810,182,378,303,847,721
769,688,172,425,946,90,244,522,173,539,282,744,357,182,691,270,498,559,727,719
741,413,520,902,157,481,937,53,549,828,407,117,681,903,691,565,327,661,824,402
465,141,385,366,520,985,634,526,149,51,539,931,220,725,613,933,161,556,403,377
215,687,634,550,411,388,612,350,245,303,768,307,54,675,770,741,465,617,827,137
632,719,143,854,948,721,609,154,726,186,668,755,246,723,388,355,256,751,727,775
132,418,920,290,691,623,457,925,704,704,676,396,880,88,87,717,329,415,328,182
393,546,388,996,771,322,420,357,312,118,465,400,840,560,636,284,493,312,171,218
649,467,674,897,453,382,633,279,947,378,51,241,565,657,148,352,93,121,923,609
636,13,627,520,778,948,854,942,537,570,948,779,404,221,684,303,687,402,593,629
674,254,773,657,596,609,684,183,948,926,712,541,245,693,518,561,8,527,249,305
888,932,272,295,769,107,894,481,675,708,268,396,541,808,453,77,132,531,89,712
325,921,216,172,183,714,519,374,113,62,924,332,300,482,307,895,421,719,886,745
